stations,total_con,F1,F2,F3,F4,F5,pH,EC,OM,target (BF)
M1,23,5.88,4.28,10.58,9.49,69.77,6.8,970,8.4,10.16
M4,19,6.15,4.4,9.27,11.28,68.9,7.1,1060,8,10.55
M6,19,1.53,2.21,3.52,7.58,85.16,7.06,840,7.98,3.74
M8,23,1.18,1.33,3.12,7.17,87.2,6.9,1190,8.11,2.51
M12,34,5.13,5.71,9.57,10.55,69.04,7.11,1185,7.5,10.84
M13,19,4.2,4.28,8.34,9.18,74,7.12,1200,6.5,8.48
M14,22,5.78,3.89,5.97,19.92,64.44,6.82,1585,13.92,9.67
M15,24,6.13,3.13,6.77,17.57,66.4,6.81,1480,7.15,9.26
M16,17,4.71,3.81,4.27,16.08,71.13,7.06,1375,7.16,8.52
M17,11,1.1,1.87,4.81,4.38,87.84,7.05,630,5.1,2.97
M20,15,0.96,1.22,3.81,6.81,87.2,7.19,560,5.8,2.18
